wp_site_url,wp_tagline,wp_site_title,site_type,openshift_env,category,theme,theme_faculty,status,installs_locked,updates_automatic,langs,unit_name,unit_id,comment,ventilation,,,,,,,,,,
https://rolexlearningcenter-next.epfl.ch,Rolex Learning Center,EPFL,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,"fr,en",RESCO,12821,Site du bâtiment,,,,,,,,,,,
https://concours-alkindi.epfl.ch,Compétition de cryptographie pour les jeunes,Alkindi,wordpress,subdomains,GeneralPublic,epfl-master,ic,yes,yes,yes,fr,IC,10387,Site d'un coucours en 2018,,,,,,,,,,,
https://as-solar.epfl.ch,Association de promotion de la construction durable et du vivre ensemble,as-solar,wordpress,subdomains,GeneralPublic,epfl-master,assoc,yes,yes,yes,fr,AS-SOLAR,13009,SOLAR Students Association,,,,,,,,,,,
https://alsl.epfl.ch,Association des étudiants libanais à Lausanne,ALSL,wordpress,subdomains,GeneralPublic,epfl-master,assoc,yes,yes,yes,"fr,en",ALSL,13559,Association des étudiants libanais à Lausanne,,,,,,,,,,,
https://lce-next.epfl.ch,Environmental Chemistry Laboratory,LCE,wordpress,subdomains,GeneralPublic,epfl-master,enac,yes,yes,yes,"fr,en",LCE,11718,Site de labo LCE,,,,,,,,,,,
https://mot2018.epfl.ch,Summer School 2018,MOT2018,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,LMIS2,10322,Website of a summer school to be held in 2018,,,,,,,,,,,
https://executive.epfl.ch,Executive Education,CDM,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,CSI,10935,Website that will reunite all the executive programs like for example CAS in BioTech,,,,,,,,,,,
https://synuclein.epfl.ch,Towards Demystifying and Understanding Alpha-Synuclein Functions,Synuclein,wordpress,subdomains,GeneralPublic,epfl-master,sv,yes,yes,yes,en,LMNN,11104,The website is for a conference organized by Prof. Hilal Lashuel.,,,,,,,,,,,
https://nachiga.epfl.ch,Nachiga - A co-laboratory for protecting life,Nachiga,wordpress,subdomains,GeneralPublic,epfl-master,cdh,yes,yes,yes,en,CDH,11076,"Site to share progress on research projects between EPFL and UNAL in Leticia, on health care, wellbeing and technologies in an urban indigenous context.",,,,,,,,,,,
https://www.epfl.ch/labs/dcsl,Data Center Systems Laboratory,DCSL,wordpress,labs,GeneralPublic,epfl,,yes,yes,yes,en,DCSL,12634,Migrated from Jahia to WP 2018-03-12/Charte 2018 2019-02-05,,,,,,,,,,,
https://hsca.epfl.ch,Healthcare Supply Chain Academy,hsca,wordpress,subdomains,GeneralPublic,epfl-master,cdm,yes,yes,yes,en,LEM,10486,Migrated from Jahia to WP 2018-03-12,,,,,,,,,,,
https://lpmn.epfl.ch,Laboratoire de Physique des Matériaux Nanostructurés,LPMN,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,fr,LPMN,10149,Migrated from Jahia to WP 2018-03-12,,,,,,,,,,,
https://eelab.epfl.ch,Electrical characterization facilities,EE Lab,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,SMX-ENS,11011,Migrated from Jahia to WP 2018-03-12,,,,,,,,,,,
