sciper;labAcronyme;siteUrl;doublon;clusters;idSite
105831;TOPO;https://www.epfl.ch/labs/topo;;Environmental modeling and monitoring;6YoQuedRc8z3dCRBS
105841;GSCP;https://www.epfl.ch/labs/gscp;;Chemical engineering;eSFWBxddJgTgGXoJq
105869;SCI-STI-SM;https://www.epfl.ch/labs/tic;;Micro and nanosystems|Personalized health;kYTh2MGokw8wFtvCW
105911;STAP;https://www.epfl.ch/labs/stap;;Statistics;HgxoqPGX5ECE2oXqn
105914;GR-MO;https://www.epfl.ch/labs/gdp;;Physical chemistry|Renewable energy|Ultrafast spectroscopy and optics;x64t7Z7rfkDAqps4u
105958;SCI-SB-MN;https://www.epfl.ch/labs/gmf;;Chemical engineering|Renewable energy;RRmNL5BPjckspcbgz
106071;LAI;https://www.epfl.ch/labs/lai;;Advanced manufacturing|Energy systems|Robotics and autonomous systems;qHhCABPin8j7cL9AR
106096;LASUR;https://www.epfl.ch/labs/lasur;;Applied and computational mathematics;akFAKz49acsTXGzib
106155;SCI-IC-PFP;https://hci.epfl.ch;;Artificial Intelligence (AI) |Machine Learning (ML)|Crowdsourcing & citizen science |Data management|Information retrieval|Human-computer interaction (HCI);qNpZMSGgF3oDwv5Xf
106159;GR-PUL;https://www.epfl.ch/labs/gpao;;Chemical engineering;RYw6b2T5d9qoB594o
106170;SCI-STI-FR;https://www.epfl.ch/labs/emc;;Energy systems|Space technology;J66pHT3MCHhLqJMNq
106368;LESO-PB;https://www.epfl.ch/labs/leso;;Civil engineering and ENAC;aSmAEH53nFed9R39c
106441;SCI-STI-AS;https://www.epfl.ch/labs/mag;;Flexible electronics|Personalized health|Robotics and autonomous systems|Space technology;pEQNh3Qy6Eg38FLHT
106443;IMAC;https://www.epfl.ch/labs/imac;;Structure and materials;3mdPmPAiYRJjLCxff
106542;LEURE;https://www.epfl.ch/labs/leure;;Territory and society;7cw9a2CxgFQj7iK6q
106544;SCI-STI-LT;https://www.epfl.ch/labs/gfo;;Optics and photonics;ZBMuGZht7jfnTRyJ8
106581;GR-TR;http://sma.epfl.ch/~troyanov;;Mathematical analysis|Geometry and topology;qDGE78QkRpg4BCTCJ
106643;SCI-STI-JMV;https://www.epfl.ch/labs/aspg;;Data and network sciences|Personalized health|Sports technology;i3jqCxRaPpTDDKTJH
106738;LEM;https://lem.epfl.ch;;Optimization|Entrepreneurial strategies|Operations & Supply chain management;Ej4iftc7ZhAs9tR4z
106911;LSCB;https://www.epfl.ch/labs/lutolf-lab;;Cancer|Development|Molecular and celluar biology|Rodents|Translational research;BRC3ye3AqjgKf6qNN
