sciper;labAcronyme;siteUrl;doublon;clusters;idSite
101475;LTS4;https://www.epfl.ch/labs/lts4/;;Data and network sciences|Imaging and vision|Learning and decision systems|Personalized health|Sports technology
136108;GR-QUA;https://www.epfl.ch/labs/q-lab/;;Future of computing|Micro and nanosystems|Optics and photonics|Quantum technology|Space technology
253102;SBER;https://www.epfl.ch/labs/sber/;;Ecology and biogeochemical cycles|Alpine and polar environment
168244;WIRE;https://www.epfl.ch/labs/wire/;;Atmosphere and climate|Environmental modeling and monitoring|Sustainable energy systems
125681;IVRL;https://ivrl.epfl.ch;;Computer vision|Computer graphics|Signal & image processing
155705;LABOS;https://labos.epfl.ch;;Systems
211624;LAMMM;https://lammm.epfl.ch;;Advanced manufacturing
177241;LARA;https://lara.epfl.ch;;Programming languages & formal methods|Security, privacy & cryptography|Systems
131602;LASEC;https://lasec.epfl.ch;;Security, privacy & cryptography
104576;LASUR;https://lasur15.epfl.ch;;Territory and society|Civil engineering and ENAC
102121;LASUR;https://lasur15.epfl.ch;;Territory and society|Civil engineering and ENAC
182443;UPDALPE;https://lbm.epfl.ch;;Bioimaging|Biophysics|Computational biology|Molecular and celluar biology|Structural biology
199129;LBNI;https://lbni.epfl.ch;1;Bio-inspired designs and systems|Advanced manufacturing|Flexible electronics|Imaging and vision|Micro and nanosystems|Optics and photonics|Personalized health|Robotics and autonomous systems|Soft matter and flexible structures
123870;LBNI;https://lbni.epfl.ch;1;Bio-inspired designs and systems|Energy systems|Imaging and vision|Optics and photonics|Soft matter and flexible structures
209207;LBP;https://lbp.epfl.ch;;Optics and photonics|Soft matter and flexible structures
105427;LCA1;https://lca1.epfl.ch;;Networking|Security, privacy & cryptography
172233;LCBB;https://lcbb.epfl.ch;;
111732;LCN1;https://lcn.epfl.ch;1;Computational biology|Neurocomputation
111732;LCN1 / LCN2;https://lcn.epfl.ch;1;Artificial Intelligence (AI) and Machine Learning (ML)|Computational biology
166540;LDM1;https://ldmblogs.epfl.ch;1;Art and expression
166540;LDM1;https://ldmblogs.epfl.ch;1;Human-computer interaction (HCI)
104359;LEN;https://len.epfl.ch;;Neuroscience|Neurotechnology|Translational research
196500;LGG;https://lgg.epfl.ch;;Artificial Intelligence (AI) and Machine Learning (ML)|Computer graphics|Human-computer interaction (HCI)
106482;LHTC;https://lhtc.epfl.ch/;;Personalized health
105074;LIA;https://lia.epfl.ch;;Artificial Intelligence (AI) and Machine Learning (ML)
